"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","JIT-Module-001a-CLOUDINARY-default","","0","0","1","0","0"
"","JIT-Module-002b-DEEPLINK-edit-infos","","0","0","1","0","0"
"","JIT-Module-010a-LINE-LOGIN-default-edit","","0","0","1","0","0"
"","JIT-Export-004-Scenario_ROR_2","","0","0","1","0","0"
"","JIT-Module-004a-EMAIL-LOGIN-default","","0","0","1","0","0"
"","JIT-Web-001c-PAGE-Delete","","0","0","1","0","0"
"","JIT-Database-007-COLUMN-type-TEXT","","0","0","1","0","0"
"","JIT-Mobile-028a-ICON-Check-PreviewCode","","0","0","1","0","0"
"","JIT-Database-004-COLUMN-type-INTEGER","","0","0","1","0","0"
"","JIT-Database-014-DEFECT-Check-duplicate-table-name","","0","0","1","0","0"
"","JIT-Mobile-032b-CAROUSEL-General-info","","0","0","1","0","0"
"","JIT-Web-002d-MOLECULE-Duplicate","","0","0","1","0","0"
"","JIT-Module-015a-SCOUT-default","","0","0","1","0","0"
"","JIT-Mobile-015-VIEW-General-info","","0","0","1","0","0"
"","JIT-Mobile-035b-FLATLIST-General-info","","0","0","1","0","0"
"","JIT-Web-002a-MOLECULE-Create-new","","0","0","1","0","0"
"","JIT-Mobile-002-SCREEN-Update","","0","0","1","0","0"
"","JIT-Database-001c-TABLE-duplicate","","0","0","1","0","0"
"","JIT-Export-010b-Export-RN-TODO","","0","0","1","0","0"
"","JIT-Module-011a-GUEST-LOGIN-default-edit","","0","0","1","0","0"
"","JIT-Mobile-014-JITDEF-status-bar","","0","0","1","0","0"
"","JIT-API-007e-PUT-API-Add-new-endpoint","","0","0","1","0","0"
"","JIT-Database-001d-TABLE-update","","0","0","1","0","0"
"","JIT-Web-002b-MOLECULE-Update","","0","0","1","0","0"
"","JIT-Export-010a-Export-RoR-TODO","","0","0","1","0","0"
"","JIT-Database-011b-COLUMN-ENUM-add-items","","0","0","1","0","0"
"","JIT-Export-007-Existing-Scenario-ROR-withkey","","0","0","1","0","0"
"","JIT-Mobile-036a-DATETIMEPICKER-Check-PreviewCode","","0","0","1","0","0"
"","JIT-API-002b-GET-list-update-info","","0","0","1","0","0"
"","JIT-Database-015g-INDEX-FLOAT-column-config","","0","0","1","0","0"
"","JIT-Module-014a-BASIC-AUTH-default","","0","0","1","0","0"
"","JIT-Database-015c-INDEX-CRUD-multiple","","0","0","1","0","0"
